date,btc,eth,bnb,usdt,ada,xrp,doge,ltc,trx,link,bch,xlm,etc,xmr,eos,lrc,zec,waves,bat,dash,dcr,xem,miota,neo,sc,bnt,btg,zrx,storj,dgb,sys,lsk,snt,cvc,usd,sp500
2020-01-10 21:00:00+00:00,8061.6265,142.87331,14.923501,1.000355,.036768351,.20975348,.0023412092,48.688065,.014530323,2.215086,259.08658,.047683008,5.211206,57.827293,2.9425414,.02325814,33.478294,.82196456,.18766673,55.012619,16.549501,.031987216,.18753462,9.6850071,.0013487259,.22149168,6.1470633,.20636977,.10006063,.005682637,.019499924,.62509382,.0091272257,.01811434,97.350998,3265.3601
2020-01-13 15:00:00+00:00,8089.7539,143.11253,15.017726,1.0007961,.0367929,.21102832,.00235722,49.24078,.014592515,2.1678529,262.75079,.047880027,5.3685083,56.846687,3.0738287,.023094855,36.686523,.85499728,.18774816,65.009102,16.903795,.033189356,.18735577,9.8572693,.0014301541,.2145496,6.71101,.21611382,.098026529,.005801314,.020367751,.62178153,.0094662551,.019738952,97.401001,3274.5801
2020-01-13 16:00:00+00:00,8094.6406,143.13103,15.022988,.99861091,.036878891,.21094127,.0023506042,49.492157,.014606095,2.1782238,263.45218,.04786085,5.4253383,57.498672,3.0758479,.022658486,36.906517,.8541494,.18753892,65.405624,17.070402,.032926731,.18700327,9.8178396,.0014263983,.21822317,6.6925597,.21491621,.097555995,.0057822512,.020395869,.62438232,.0094534587,.019771341,97.366997,3277.8701
2020-01-13 17:00:00+00:00,8136.4541,143.86218,15.081737,1.0045207,.037016608,.21205924,.0023332138,49.525814,.014688895,2.1816287,264.8689,.04793071,5.4809232,57.459995,3.101805,.023054006,37.643513,.85886526,.18832977,68.532806,17.085308,.033184592,.18762666,9.8962288,.0014217441,.21925503,6.7205634,.21631363,.098271124,.0057791243,.020485673,.62199843,.0094902562,.019780288,97.336998,3282.6599
2020-01-13 18:00:00+00:00,8136.0322,143.84116,15.077252,1.0043572,.036960427,.21161796,.0023502121,49.603798,.014715983,2.1828935,266.24188,.048099551,5.4326425,58.150993,3.1182129,.022994999,38.004929,.85941052,.1880286,69.753372,16.855394,.03314174,.18796821,9.9219761,.0014276083,.21860926,6.7157092,.21437709,.097903587,.005783584,.020481849,.62246329,.0094952397,.019744206,97.339996,3281.6101
2020-01-13 19:00:00+00:00,8139.5742,144.04279,15.081197,1.0042418,.037047613,.21122874,.0023380145,49.840031,.014705633,2.1842809,266.34198,.047969401,5.4454079,57.827133,3.1193595,.022869788,38.116695,.8657195,.18802008,68.607986,16.633234,.03329996,.18815315,9.9293432,.0014216985,.21905267,6.7356701,.21408425,.098404445,.0058065495,.020465333,.62064946,.0094985636,.019740438,97.345001,3283.54
2020-01-13 20:00:00+00:00,8153.2192,144.29123,15.137748,1.0007746,.036988053,.21176064,.002355363,49.77718,.014697445,2.1795311,267.28278,.047689635,5.4485703,57.694374,3.1198955,.022997038,38.203972,.86678463,.18823875,69.909462,16.621212,.033224761,.18840702,9.9904957,.0014238429,.21874575,6.7323976,.21414138,.098170206,.0058404924,.020324262,.61651289,.0094606448,.019603821,97.361,3282.3301
2020-01-13 21:00:00+00:00,8156.4873,144.62917,15.165745,1.0032225,.0371239,.21182497,.0023432863,49.890091,.014711915,2.1837959,268.63364,.047735132,5.4546995,57.59885,3.1284442,.022940621,38.082092,.86982089,.18894373,70.433136,16.169765,.033240501,.18885562,10.000019,.0014272402,.21929184,6.7824488,.212878,.1002459,.0057842801,.020320969,.61657262,.0094541414,.019637587,97.386002,3287.8
2020-01-14 15:00:00+00:00,8676.2334,156.14313,16.078438,.99196106,.03896489,.22418775,.0024125099,56.787991,.015858851,2.4182141,350.20929,.050247423,6.8092508,60.990093,3.4158585,.023305686,44.034904,.86674863,.2018034,87.034607,17.382421,.034026869,.19705886,10.721534,.001422001,.22001328,8.2086096,.22301765,.10444638,.0060617472,.019962149,.6432367,.0097336052,.019426191,97.435997,3283.05
2020-01-14 16:00:00+00:00,8637.1777,156.4801,16.124046,.99592084,.039207391,.23366398,.0023895807,56.088985,.01592084,2.3871844,329.72498,.050838497,6.4737539,60.515694,3.4601877,.023263024,43.828793,.86191911,.19908352,84.218468,17.240028,.034051824,.19641612,10.701632,.001431131,.22109883,8.133522,.22074862,.10091326,.005976154,.020066066,.63284731,.0097040106,.0192273,97.382004,3285.9199
2020-01-14 17:00:00+00:00,8769.1602,163.08127,16.544834,1.0013555,.041150689,.23809226,.0024520007,57.79192,.016771061,2.4230382,328.34253,.052138284,6.7302818,61.650249,3.9550016,.023887822,43.320583,.86541694,.20265232,84.721329,17.536858,.034894757,.20951024,11.132109,.0014430447,.22862323,8.2262878,.23123021,.10630596,.0061324248,.020286167,.64080495,.010021891,.019619672,97.371002,3289.22
2020-01-14 18:00:00+00:00,8773.3076,164.12122,16.401827,1.0032532,.04089522,.23521258,.0024468116,57.857109,.016480351,2.3925056,322.31366,.052327964,6.539443,61.539673,3.7567611,.024038991,42.559006,.87290508,.20533966,84.518105,17.538385,.035501879,.21213003,11.009359,.0014520468,.23145582,8.1226025,.23568328,.10427269,.0061067049,.020282822,.65433919,.0099322898,.019791773,97.348,3293.1201
2020-01-14 19:00:00+00:00,8789.1211,165.3129,16.6134,1.0080671,.041197173,.23598307,.0024876462,58.036816,.016540619,2.3937919,328.31479,.05242021,6.6022058,61.645481,3.7509196,.024250768,42.832195,.87520647,.20771453,83.904648,17.655081,.035301406,.21057123,11.060717,.0014605396,.23070957,8.2145462,.23412359,.10486083,.006349077,.020803621,.65779567,.010053888,.019847773,97.372002,3285.1699
2020-01-14 20:00:00+00:00,8704.916,163.65898,16.453651,1.0034068,.040629879,.23364384,.0024624674,57.196724,.016516022,2.3770802,325.34744,.051880669,6.5426607,61.264572,3.7332766,.024461603,42.310093,.86639869,.20706625,82.478363,17.448723,.034951538,.208995,10.906291,.001441119,.22854915,8.3797455,.22874747,.10350148,.0062552681,.020641327,.64700586,.0098885372,.019701794,97.376999,3280.0601
2020-01-14 21:00:00+00:00,8759.9258,164.34406,16.512583,1.0039613,.040813126,.23389097,.0024856697,57.310551,.016556576,2.4145832,325.32715,.05184174,6.545536,62.597088,3.8018866,.024430225,42.815849,.87131286,.20906509,85.139809,17.625797,.03518635,.20906144,11.022241,.0014451263,.22972168,8.9211416,.23008113,.10461431,.006463666,.020738721,.64891672,.010049769,.019741401,97.390999,3282.8799
2020-01-15 15:00:00+00:00,8773.1729,162.83406,17.379347,.99967504,.041058805,.23443763,.002481343,57.132858,.017027261,2.4305894,327.44736,.053564183,7.2427702,64.319099,3.7076623,.02439728,50.646362,.89504975,.22054586,112.99739,18.066311,.036581185,.21837465,11.275063,.0015532874,.22266847,14.818353,.23894835,.10879175,.0065546418,.021166902,.6872136,.010369642,.020770971,97.241997,3292.95
2020-01-15 16:00:00+00:00,8782.4375,164.33719,17.554218,.99960691,.041472457,.23468998,.0024560005,57.596451,.017195087,2.4316082,331.63315,.053758014,7.572391,65.393059,3.742415,.024481596,53.564442,.89589691,.22035317,122.37535,18.032164,.037527915,.2232471,11.353661,.0015497115,.21922925,14.788892,.24098051,.10957232,.0065700491,.021217342,.68893558,.010332831,.021090245,97.177002,3294.71
2020-01-15 17:00:00+00:00,8773.2461,164.75218,17.688957,.99720752,.041508287,.23475063,.0024500748,57.648315,.017358351,2.4073226,333.61603,.054516744,7.5095348,65.959366,3.7248409,.024304504,52.954678,.90373081,.22120567,122.02846,18.113604,.037526648,.22284456,11.390559,.0015638822,.21646596,13.378047,.23875961,.10918376,.0065524559,.021237792,.68549931,.010320197,.021066105,97.176003,3294.74
2020-01-15 18:00:00+00:00,8750.4209,163.93973,17.567884,.99906641,.041192893,.23317742,.0024612315,57.124516,.017157681,2.4034657,328.44467,.054011878,7.4394584,66.034271,3.6960068,.024251033,52.429363,.89986688,.22141749,121.04002,18.053417,.037372675,.22153777,11.287356,.0015742477,.21930298,13.843183,.2387823,.10855468,.0064865905,.021319322,.68484896,.010293639,.02094348,97.220001,3289.8401
